step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1137.5734356801956,5.402299648267217e-05,2096.6152733802796,-1.4503593109548092
4096,-1321.7673768338748,-0.00312016339157708,1715.9807841300965,-1.4542503505945206
6144,-1187.4748048554088,-0.0006334280798910186,936.5222687721252,-1.4680722672492266
8192,-1107.9390848573298,0.0014269990002503618,1207.5036405563355,-1.4647924099117517
10240,-1136.1290887791197,0.00040872343743103556,720.2972260475159,-1.484278166666627
12288,-1200.2593997584656,-0.0020357843706733545,567.6971681594848,-1.5264065254479646
14336,-1279.7228800967337,-0.00166506214736728,613.1044514656066,-1.557580953091383
16384,-1280.1416948378087,-0.002161333285039291,545.9914113521576,-1.5447941608726978
18432,-1339.5770696260035,-0.005690354997932445,497.4208667755127,-1.534976238757372
20480,-1310.5694075196982,-0.005391659314773279,683.8006828308105,-1.520047215372324
22528,-1223.471856839396,0.0006264921787078493,457.91979665756224,-1.5251310471445323
24576,-1203.5976827172562,0.0004986552710761316,675.4400896072387,-1.539159421622753
26624,-1257.142849257961,-0.0019098785647656768,589.4303601264953,-1.5202570863068103
28672,-1327.949710151134,-0.0028568519264808856,588.914123249054,-1.5181183349341154
30720,-1146.7646168246865,-0.0013900065110647119,678.194355392456,-1.5287271350622178
32768,-1154.8354164011776,0.0004161808537901379,607.6231410026551,-1.5529133357107638
34816,-1171.9181355908513,-0.0009095107641769573,524.4895646095276,-1.5546658787876368
36864,-1284.1517587012145,-0.00010044802984339185,639.9967153549194,-1.5817982371896506
38912,-1106.248400414735,-0.001751811614667531,539.3734559059143,-1.623074346408248
40960,-1210.0815046150237,-0.0018723605935520027,501.11679286956786,-1.6655514795333146
43008,-1210.6167529925704,-0.003158412505581509,519.4185273170472,-1.6681519139558076
45056,-1250.5121317779644,-0.001380470949516166,598.2885081291199,-1.685184033960104
47104,-1168.9379112881609,-0.000843872711993754,336.61289563179014,-1.7225720390677453
49152,-1190.1112560326233,-0.00501551184206619,401.64673380851747,-1.724357843771577
51200,-1131.588418400474,-0.001473983991309069,508.5623439788818,-1.7170597299933434
53248,-1211.4001526573672,-0.002427389164222404,374.68247375488284,-1.7149686854332686
55296,-1109.6087632175536,-0.00024099319707602263,472.18851766586306,-1.738025362789631
57344,-1093.3778460651636,-0.001060690351005178,734.3727292060852,-1.741583738848567
59392,-1226.7201495411805,-0.0042394117917865515,415.00359692573545,-1.7516432777047157
61440,-1175.0983724750579,-0.008566552070260514,656.8738079071045,-1.777430695667863
63488,-1235.4806426167954,-0.0023494054679758848,422.2675434589386,-1.7996740370988846
65536,-1091.1218184077995,-0.0019732792876311577,676.7369914054871,-1.8114005636423827
67584,-1141.2774992607533,-0.0020529653993435204,597.7061602592469,-1.826903023198247
69632,-1042.6031557245065,-0.0030242594744777306,787.0732447624207,-1.8423608608543873
71680,-1116.0776819141581,-0.004031474371731747,525.4274507522583,-1.8405558023601771
73728,-1184.4673560556025,-0.004001525753119494,555.7917921066285,-1.8742097463458776
75776,-1083.3587460208685,-0.0007359643088420853,563.1503727912902,-1.903863524273038
77824,-1203.1181684380397,-0.005172759394918102,362.5212567806244,-1.9298502925783396
79872,-1152.4526332646608,-0.005658299826609437,547.6030306816101,-1.9544036518782377
81920,-1099.0816160563845,-0.0023578452499350535,479.52611885070803,-1.9594337306916714
83968,-1066.3077549859881,-0.004071314394241199,477.39158310890195,-1.9600797664374112
86016,-1078.8076787814498,-0.003557501870091073,629.9191253662109,-1.9469686612486838
88064,-1038.3194405182962,-0.005549157787754666,668.6677024841308,-1.9530532967299223
90112,-1053.9225749999052,-0.006091201565868687,485.28345866203307,-1.950632781162858
92160,-1000.6507898106647,-0.00451858839369379,867.0939909934998,-1.951369822025299
94208,-998.005742431432,-0.003943356878880877,672.9183917999268,-1.9639234133064747
96256,-949.4053305184468,-0.004245328967954265,610.553592967987,-1.9370553586632013
98304,-868.6641028940561,-0.003290975175332278,1135.71702709198,-1.9281442880630493
100352,-953.6067842002492,-0.005397736762824934,1025.8236394882201,-1.9130427774041892
