step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1296.4331451013684,-0.0005950356549874414,9716.498393249512,-1.4177404437214136
4096,-1279.0415885172783,-0.0007421317757689394,8162.038468933106,-1.417241494357586
6144,-1431.1182924985885,-0.0027242859578109346,10962.11661376953,-1.4184302154928445
8192,-1405.2210004830035,-0.002790166235354263,9700.185906982422,-1.4129386313259602
10240,-1235.42796470318,-0.001251527354179416,7650.716967773437,-1.4056396901607513
12288,-1227.2600390511566,-0.002651004702784121,6659.555169677735,-1.4126811996102333
14336,-1388.898755173385,-0.0008459573953587096,8401.494900512695,-1.4120610136538745
16384,-1166.835264518112,-0.001975047038285993,5234.362490081787,-1.4069453936070204
18432,-1104.5645269077272,-0.0005609690044366289,5014.46081161499,-1.4149335958063602
20480,-1322.7559789508582,-0.0012186196021502838,6713.074420166015,-1.420087793469429
22528,-1336.9043274066412,-0.0005142198366229423,6373.403669738769,-1.4129860576242208
24576,-1141.8055065716617,-0.0014737720077391714,4752.420001983643,-1.4075986701995133
26624,-1174.1840277053416,-0.0019788819998211695,4493.655501556396,-1.4062389384955167
