step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1188.3525187909604,-0.0018602855183416978,7178.869367980957,-1.4200222060084342
4096,-1317.2021159157157,-0.0026855502001126297,9142.908894348144,-1.4139090463519097
6144,-1351.2085583165288,-0.0018893943008151837,9507.940335083007,-1.4037239268422126
8192,-1250.3341763909907,-0.003166645443707239,8185.897131347656,-1.3933817606419325
10240,-1250.9525818479713,-0.0007486201779101975,7837.293087768555,-1.3925014939159155
12288,-1280.7155484989285,-0.004529814652050846,7868.087373352051,-1.3997121270745994
14336,-1096.8101463330909,-0.003451298859727103,6114.366528320313,-1.4099375341087579
16384,-1204.99648255473,-0.0031874055886873974,6228.989353942871,-1.4189763896167278
18432,-1182.996247768402,-0.0006767561484593898,5583.019300842285,-1.427879374101758
20480,-1269.2314176219516,-0.002286156160698738,6598.846421813965,-1.4372230369597674
22528,-1287.0183443531394,-0.002358543385344092,5920.138110351562,-1.4297388914972544
24576,-1175.4078918457963,-0.0009286526415962726,5160.027131652832,-1.4278756473213434
26624,-1171.582008236274,-0.0014815535221714526,4480.4956924438475,-1.4369155030697585
