step,mean_return,policy_loss,value_loss,entropy_loss,vae_loss
2048,-1323.4483299285173,-0.0033143477980047465,9459.332795715332,-1.410593145340681,51.937740325927734
4096,-1364.8463032666593,-0.002127024935907684,10235.224234008789,-1.4024755697697402,26.349220275878906
6144,-1185.5741762500722,-0.002252668717119377,7421.394808959961,-1.4044685859233141,14.991915702819824
8192,-1161.5320047580171,-0.002226204265025444,6750.385310363769,-1.3969512097537518,7.497037887573242
10240,-1145.3333233308047,-0.0013668554420291912,6627.008035278321,-1.385837272182107,9.773993492126465
12288,-1349.3667000698392,-0.0016905115560803096,8302.06416015625,-1.3881931990385055,3.1322662830352783
14336,-1165.6352851824836,-0.00226195744035067,6068.113163757324,-1.3930751331150533,4.690988540649414
16384,-1216.4556219551712,-0.000737808629492065,6576.346697998047,-1.393984529748559,4.223482608795166
18432,-1221.3957981253043,-0.0018617882764374372,6492.453553771973,-1.4006146531552077,3.1642134189605713
20480,-1101.5449137547052,-0.0005644298362312838,4996.526009368897,-1.4076512489467858,6.247699737548828
22528,-1160.2911869586212,-0.0013231501245172695,4906.330165863037,-1.4072320483624936,4.033918857574463
24576,-1205.7939409364014,-0.003354299604689004,5079.716216278076,-1.4030723355710506,5.332271575927734
26624,-1037.9278864128514,-0.002541148457385134,3629.5666015625,-1.3926313199102878,6.349019527435303
