mode,total_steps,seed,final_mean_return
context_free,15000,0,-1151.8800379034133
context_free,15000,1,-1261.6982436297462
context_free,15000,20,-1239.645211848244
context_free,15000,30,-1277.654596734466
context_free,15000,400,-1212.9790720894932
context_free,15000,500,-1245.7149720806628
context_free,15000,6000,-1267.069434245955
context_free,15000,7000,-1278.5865890167654
context_free,15000,8888,-1172.6586293035186
context_free,15000,9999,-1121.6610412914306
context_free,25000,0,-1113.8010454282164
context_free,25000,1,-1141.2289781834463
context_free,25000,20,-1246.0718850098551
context_free,25000,30,-1149.992884689197
context_free,25000,400,-1123.683598801529
context_free,25000,500,-1214.9234538219869
context_free,25000,6000,-1129.4448187107337
context_free,25000,7000,-1287.3950402781368
context_free,25000,8888,-1035.3223560168874
context_free,25000,9999,-1224.8386966302992
context_free,40000,0,-1316.3791507240385
context_free,40000,1,-1307.1735985780135
context_free,40000,20,-1126.43244787734
context_free,40000,30,-1211.5285820908844
context_free,40000,400,-1190.2487560667098
context_free,40000,500,-1054.9964073001406
context_free,40000,6000,-1139.1203554407691
context_free,40000,7000,-1294.8352992415428
context_free,40000,8888,-1207.5958619967105
context_free,40000,9999,-1342.7290480405093
context_free,50000,0,-1189.5056189980562
context_free,50000,1,-1280.0580209644045
context_free,50000,20,-1161.3880516532809
context_free,50000,30,-1274.9252386018634
context_free,50000,400,-1184.6682527774944
context_free,50000,500,-1025.183446101472
context_free,50000,6000,-1131.186086064484
context_free,50000,7000,-1212.0677008926868
context_free,50000,8888,-1239.543041674793
context_free,50000,9999,-1158.2740652110429
oracle,15000,0,-1203.4057781524957
oracle,15000,1,-1261.4090107115917
oracle,15000,20,-1246.3302045315504
oracle,15000,30,-1273.8038033721969
oracle,15000,400,-1265.6135717794707
oracle,15000,500,-1236.6610407901928
oracle,15000,6000,-1308.110957404878
oracle,15000,7000,-1264.0156318746508
oracle,15000,8888,-1242.8429761186242
oracle,15000,9999,-1185.9179079797118
oracle,25000,0,-1147.0007022947073
oracle,25000,1,-1233.3206361375749
oracle,25000,20,-1223.3707806821913
oracle,25000,30,-1260.2465366298334
oracle,25000,400,-1202.8135135400807
oracle,25000,500,-1231.0728600992063
oracle,25000,6000,-1164.833703969512
oracle,25000,7000,-1343.9669624380767
oracle,25000,8888,-1062.6469224757748
oracle,25000,9999,-1266.408539248258
oracle,40000,0,-1247.857821831573
oracle,40000,1,-1346.5039889395237
oracle,40000,20,-1120.313328940049
oracle,40000,30,-1329.1835305601358
oracle,40000,400,-1307.4393307264895
oracle,40000,500,-1089.8572874619626
oracle,40000,6000,-1111.566054680664
oracle,40000,7000,-1213.8183948388091
oracle,40000,8888,-1259.585820883885
oracle,40000,9999,-1300.2089540844784
oracle,50000,0,-1194.9231963673606
oracle,50000,1,-1326.4577779105864
