step,mean_return,policy_loss,value_loss
2048,21.8,-0.024041157515603116,57.41771806478501
4096,18.3,-0.01689905808889307,65.53691432476043
6144,38.0,-0.011078357296355534,59.81577082276344
8192,38.5,-0.012527802125259769,80.43209805488587
10240,67.6,-0.006836204734281637,82.89757400751114
12288,120.2,-0.008159274180798093,89.81075327396393
14336,105.4,-0.015041550422029103,94.87931914329529
16384,102.9,-0.010866891205660067,117.07942335605621
18432,133.2,-0.006192858114081901,94.94596007466316
20480,157.7,-0.007124626556469593,83.01993685364724
22528,188.5,-0.007271554664475844,59.82497578859329
24576,154.1,-0.009425133652985095,83.84196484684944
26624,209.4,-0.0059382557301432826,59.671297347545625
28672,190.2,-0.006891994697798509,55.844210588932036
30720,221.1,-0.00974392554780934,68.98987835943699
32768,253.7,-0.0045485575130442156,63.932558935880664
34816,307.7,-0.003164996739360504,43.60660657584667
36864,354.2,-0.005555963144797715,31.998363888263704
38912,318.9,-0.008548865964985452,62.48853438794613
40960,303.8,-0.005717299380194163,62.475944474339485
43008,326.9,-0.001153402710770024,25.501411032676696
45056,388.0,-0.002584363453934202,57.37897143363953
47104,410.7,-0.008797915642207953,10.986258349940181
49152,443.1,-0.00413901232968783,12.974303957819938
51200,381.0,-0.008918477989209351,30.46405050307512
