step,mean_return,policy_loss,value_loss
2048,-1357.809298558533,-0.0022669123209198005,10819.165367126465
4096,-1394.0499337367714,-0.0020612594780686777,9338.503164672851
6144,-1343.2160618856549,-0.0015428282888024115,6246.988973236084
8192,-1455.143413354177,-0.0013608602501335553,4590.910906219482
10240,-1470.4015078350901,-0.0031532663997495547,3635.5669326782227
12288,-1326.8933675259352,5.998683482175693e-05,1968.3474576950073
14336,-1369.506591387093,-0.0030508326017297804,1307.002028465271
16384,-1268.5883546821774,-0.0017669220440438948,1407.547878074646
18432,-1287.5445320107042,-0.0005920548603171483,1148.4259210586547
20480,-1235.9568672508,-0.0020777826008270494,977.000608253479
22528,-1375.0481345057487,-0.001711972315388266,745.9565138816833
24576,-1350.806659975648,-0.00020995842569391244,1117.8364130973816
26624,-1338.2417715504766,-0.0010184335478697903,886.7559390068054
28672,-1396.7332909435033,-0.0019996435767097864,717.2114279747009
30720,-1175.3409289721399,-0.0011397313239285723,676.1257348060608
32768,-1225.4357355181128,-0.001760557692614384,577.2292922973633
34816,-1292.969063843973,-0.0036569561751093717,646.7097109794616
36864,-1430.555652837828,-0.006285848595871358,659.1954524993896
38912,-1230.2775036182254,-0.0025195799389621243,664.7895462989807
40960,-1348.5960809633136,-0.00150574802828487,778.3259038925171
43008,-1263.5628989591264,-0.004802466416003881,820.5797533035278
45056,-1220.0198724549264,-0.0019483703741570934,814.3849641799927
47104,-1244.2160327650606,-0.0005043696568463929,599.0576206207276
49152,-1289.5460308026522,-0.003421340098429937,400.9356882095337
51200,-1181.3100727036594,-0.0003885135240125237,561.046049118042
